cod-barra;nr-pedrep;nr-vol-ped;nome-transp;nr-linha;nr-pedido;nr-pedcli;nr-carga;it-codigo;nr-volume;nr-sequencia;cod-box;desc-item-1;desc-item-2;nome-emit;cidade;estado;dt-embarque;medida;volume;
00000033801295015761461001;VITALINACOZI;094/097 ;RODAG-LOGIST                                           ;54      ;5761461 ;5761461 ;323     ;338012 95        ;1       ;1       ;C       ;FRENTE FIXA 670X125X15 BRANCO                ;2 Unid(s)                                    ;AKAGI DESIGN LTDA EPP ;SAO PAULO          ;SP;03/05/24  ;     ;01/05;
00070076340008015768942002;GABRIELACOZ2;020/048 ;RASADOR                                                ;54      ;5768942 ;5768942 ;322     ;700763 40008     ;1       ;2       ;G       ;FRENTE GAV 663X196X15 URBE                   ;                                             ;ZIAD HUSSEIN ABDOUNI  ;GUARULHOS          ;SP;03/05/24  ;     ;01/01;
00070076340008015770132003;PROT.10517  ;001/003 ;PAESE  R01                                             ;54      ;5770132 ;5770132 ;325     ;700763 40008     ;1       ;3       ;J       ;FRENTE GAV 663X196X15 URBE                   ;                                             ;TRANSPAESE TRANSPORTE ;GUARULHOS          ;SP;03/05/24  ;     ;01/01;
00070076340008015771408004;COZINHA EDER;019/075 ;CRISTOFOLI                                             ;54      ;5771408 ;5771408 ;331     ;700763 40008     ;1       ;4       ;N       ;FRENTE GAV 663X196X15 URBE                   ;                                             ;AJP COMERCIO DE MOVEIS;CANDELARIA         ;RS;03/05/24  ;     ;01/01;
00070076340008015771983005;6053 JULIO  ;068/096 ;CRISTOFOLI                                             ;54      ;5771983 ;5771983 ;331     ;700763 40008     ;1       ;5       ;N       ;FRENTE GAV 663X196X15 URBE                   ;                                             ;DALMOLIN & ZANCHETTA L;GUARAPUAVA         ;PR;03/05/24  ;     ;01/01;
00070076340008015771018006;VAND COZ    ;061/089 ;PRATTICA LO                                            ;54      ;5771018 ;5771018 ;324     ;700763 40008     ;1       ;6       ;P       ;FRENTE GAV 663X196X15 URBE                   ;                                             ;ALMEIDA MOVEIS PLANEJA;UBERLANDIA         ;MG;03/05/24  ;     ;01/01;
00070076340007015769689007;Jessicacozin;047/112 ;TRANSTUTTI                                             ;54      ;5769689 ;5769689 ;330     ;700763 40007     ;1       ;7       ;A       ;FRENTE GAV 663X196X15 DUST                   ;                                             ;CASA PERIN COMERCIO DE;NOVO HAMBURGO      ;RS;03/05/24  ;     ;01/01;
00070076340007015769452008;BRUNA-COZINH;034/093 ;CRISTOFOLI                                             ;54      ;5769452 ;5769452 ;331     ;700763 40007     ;1       ;8       ;N       ;FRENTE GAV 663X196X15 DUST                   ;                                             ;PROJETAR ARQUITETURA E;CAXIAS DO SUL      ;RS;03/05/24  ;     ;01/01;
00070076340007015772052009;JEFERSON COZ;035/064 ;SULMOVEIS                                              ;54      ;5772052 ;5772052 ;335     ;700763 40007     ;1       ;9       ;R       ;FRENTE GAV 663X196X15 DUST                   ;                                             ;S O L SERVICOS ADMINIS;PARAUAPEBAS        ;PA;03/05/24  ;     ;01/01;
00070076340006015771986010;6061 JULIO  ;061/185 ;CRISTOFOLI                                             ;54      ;5771986 ;5771986 ;331     ;700763 40006     ;1       ;10      ;N       ;FRENTE GAV 663X196X15 ABISSAL                ;                                             ;DALMOLIN & ZANCHETTA L;GUARAPUAVA         ;PR;03/05/24  ;     ;01/01;
00070076340002015761973011;REGINALDOCOZ;133/142 ;RODAG-LOGIST                                           ;54      ;5761973 ;5761973 ;323     ;700763 40002     ;1       ;11      ;C       ;FRENTE GAV 663X196X15 GLACIAL                ;                                             ;C A DE SOUZA PLANEJADO;SAO PAULO          ;SP;03/05/24  ;     ;01/01;
00070076340001015772002012;ELAINECOZINH;020/040 ;DUMAR                                                  ;54      ;5772002 ;5772002 ;321     ;700763 40001     ;1       ;12      ;B       ;FRENTE GAV 663X196X15 NUBLE                  ;                                             ;GABI AMBIENTES PLANEJA;JUNDIAI            ;SP;03/05/24  ;     ;01/01;
00070076340001015768524013;55007CACOZIN;034/058 ;MERICA                                                 ;54      ;5768524 ;5768524 ;326     ;700763 40001     ;1       ;13      ;D       ;FRENTE GAV 663X196X15 NUBLE                  ;                                             ;CRONUS COMERCIO DE MOV;NITEROI            ;RJ;03/05/24  ;     ;01/01;
00070076340001015755240014;1117emerCOZ ;031/061 ;MERICA                                                 ;54      ;5755240 ;5755240 ;326     ;700763 40001     ;1       ;14      ;D       ;FRENTE GAV 663X196X15 NUBLE                  ;                                             ;CAHU MOVEIS LTDA      ;NITEROI            ;RJ;03/05/24  ;     ;01/01;
00000700763749015771440015;giselle/ coz;010/225 ;DUMAR                                                  ;54      ;5771440 ;5771440 ;321     ;700763 749       ;1       ;15      ;B       ;FRENTE GAV 663X196X15 CARIBE                 ;                                             ;PROJETTARE MOVEIS PLAN;UBATUBA            ;SP;03/05/24  ;     ;01/01;
00000700763749015771434016;TANG FALTANT;002/010 ;RASADOR PR                                             ;54      ;5771434 ;5771434 ;332     ;700763 749       ;1       ;16      ;E       ;FRENTE GAV 663X196X15 CARIBE                 ;                                             ;BECK E CARNEIRO LTDA  ;CASTRO             ;PR;03/05/24  ;     ;01/01;
00000700763749015771434017;TANG FALTANT;003/010 ;RASADOR PR                                             ;54      ;5771434 ;5771434 ;332     ;700763 749       ;1       ;17      ;E       ;FRENTE GAV 663X196X15 CARIBE                 ;                                             ;BECK E CARNEIRO LTDA  ;CASTRO             ;PR;03/05/24  ;     ;01/01;
