cod-barra;nr-pedrep;nr-vol-ped;nome-transp;nr-linha;nr-pedido;nr-pedcli;nr-carga;it-codigo;nr-volume;nr-sequencia;cod-box;desc-item-1;desc-item-2;nome-emit;cidade;estado;dt-embarque;medida;volume;
00065028040008015759023001;DANI-SALA   ;006/021 ;RODAG-LOGIST                                           ;45      ;5759023 ;5759023 ;244     ;650280 40008     ;1       ;1       ;A       ;PAINEL LINEAR RIPADO LARGO X198X21MM URBE    ;,9 M                                         ;RF AGUIRRE PLANEJADOS ;MAUA               ;SP;22/04/24  ;,9 M ;01/01;
00065028040008015759023002;DANI-SALA   ;007/021 ;RODAG-LOGIST                                           ;45      ;5759023 ;5759023 ;244     ;650280 40008     ;1       ;2       ;A       ;PAINEL LINEAR RIPADO LARGO X198X21MM URBE    ;,9 M                                         ;RF AGUIRRE PLANEJADOS ;MAUA               ;SP;22/04/24  ;,9 M ;01/01;
00065028140008015761097003;SUITE.JOSE  ;080/127 ;FARBEN                                                 ;45      ;5761097 ;5761097 ;258     ;650281 40008     ;1       ;3       ;N       ;PAINEL LINEAR RIPADO LARGO X596X21MM URBE    ;2,3 M                                        ;AMARE MOVEIS PLANEJADO;SOMBRIO            ;SC;22/04/24  ;2,3 M;01/01;
00065028240006015761043004;B.demi.JOSE ;036/044 ;FARBEN                                                 ;45      ;5761043 ;5761043 ;258     ;650282 40006     ;1       ;4       ;N       ;PAINEL LINEAR RIPADO LARGO X895X21MM ABISSAL ;,2 M                                         ;AMARE MOVEIS PLANEJADO;SOMBRIO            ;SC;22/04/24  ;,2 M ;01/01;
00065028240006015761043005;B.demi.JOSE ;035/044 ;FARBEN                                                 ;45      ;5761043 ;5761043 ;258     ;650282 40006     ;1       ;5       ;N       ;PAINEL LINEAR RIPADO LARGO X895X21MM ABISSAL ;,2 M                                         ;AMARE MOVEIS PLANEJADO;SOMBRIO            ;SC;22/04/24  ;,2 M ;01/01;
00065028240006015761043006;B.demi.JOSE ;034/044 ;FARBEN                                                 ;45      ;5761043 ;5761043 ;258     ;650282 40006     ;1       ;6       ;N       ;PAINEL LINEAR RIPADO LARGO X895X21MM ABISSAL ;,22 M                                        ;AMARE MOVEIS PLANEJADO;SOMBRIO            ;SC;22/04/24  ;,22 M;01/01;
00065028240006015761043007;B.demi.JOSE ;033/044 ;FARBEN                                                 ;45      ;5761043 ;5761043 ;258     ;650282 40006     ;1       ;7       ;N       ;PAINEL LINEAR RIPADO LARGO X895X21MM ABISSAL ;,22 M                                        ;AMARE MOVEIS PLANEJADO;SOMBRIO            ;SC;22/04/24  ;,22 M;01/01;
00065028240006015761043008;B.demi.JOSE ;032/044 ;FARBEN                                                 ;45      ;5761043 ;5761043 ;258     ;650282 40006     ;1       ;8       ;N       ;PAINEL LINEAR RIPADO LARGO X895X21MM ABISSAL ;,242 M                                       ;AMARE MOVEIS PLANEJADO;SOMBRIO            ;SC;22/04/24  ;,242 ;01/01;
00065028240006015761043009;B.demi.JOSE ;031/044 ;FARBEN                                                 ;45      ;5761043 ;5761043 ;258     ;650282 40006     ;1       ;9       ;N       ;PAINEL LINEAR RIPADO LARGO X895X21MM ABISSAL ;,242 M                                       ;AMARE MOVEIS PLANEJADO;SOMBRIO            ;SC;22/04/24  ;,242 ;01/01;
00065028240006015761043010;B.demi.JOSE ;030/044 ;FARBEN                                                 ;45      ;5761043 ;5761043 ;258     ;650282 40006     ;1       ;10      ;N       ;PAINEL LINEAR RIPADO LARGO X895X21MM ABISSAL ;,25 M                                        ;AMARE MOVEIS PLANEJADO;SOMBRIO            ;SC;22/04/24  ;,25 M;01/01;
