cod-barra;nr-pedrep;nr-vol-ped;nome-transp;nr-linha;nr-pedido;nr-pedcli;nr-carga;it-codigo;nr-volume;nr-sequencia;cod-box;desc-item-1;desc-item-2;nome-emit;cidade;estado;dt-embarque;medida;volume;
00000900022218015762748001;JEF/COZ.LAVA;023/122 ;RODAG-LOGIST                                           ;78      ;5762748 ;5762748 ;323     ;900022 218       ;1       ;1       ;C       ;PORTA BAL ESP 496X296X15 LOURO FREIJO        ;469X296 mm                                   ;DECORA INTERIORES LTDA;SAO PAULO          ;SP;03/05/24  ;469X2;01/01;
00000900022218015762748002;JEF/COZ.LAVA;024/122 ;RODAG-LOGIST                                           ;78      ;5762748 ;5762748 ;323     ;900022 218       ;1       ;2       ;C       ;PORTA BAL ESP 496X296X15 LOURO FREIJO        ;469X296 mm                                   ;DECORA INTERIORES LTDA;SAO PAULO          ;SP;03/05/24  ;469X2;01/01;
00000900022218015762748003;JEF/COZ.LAVA;025/122 ;RODAG-LOGIST                                           ;78      ;5762748 ;5762748 ;323     ;900022 218       ;1       ;3       ;C       ;PORTA BAL ESP 496X296X15 LOURO FREIJO        ;469X296 mm                                   ;DECORA INTERIORES LTDA;SAO PAULO          ;SP;03/05/24  ;469X2;01/01;
00000900022218015762748004;JEF/COZ.LAVA;026/122 ;RODAG-LOGIST                                           ;78      ;5762748 ;5762748 ;323     ;900022 218       ;1       ;4       ;C       ;PORTA BAL ESP 496X296X15 LOURO FREIJO        ;469X296 mm                                   ;DECORA INTERIORES LTDA;SAO PAULO          ;SP;03/05/24  ;469X2;01/01;
00000900028218015770471005;CRISTIANI-CZ;043/101 ;RASADOR PR                                             ;78      ;5770471 ;5770471 ;332     ;900028 218       ;1       ;5       ;E       ;PORTA ESP 663X296X15 LOURO FREIJO            ;663X256 mm                                   ;IVANEO HILLESHEIM JP C;PALHOCA            ;SC;03/05/24  ;663X2;01/01;
00000900028218015770471006;CRISTIANI-CZ;044/101 ;RASADOR PR                                             ;78      ;5770471 ;5770471 ;332     ;900028 218       ;1       ;6       ;E       ;PORTA ESP 663X296X15 LOURO FREIJO            ;663X256 mm                                   ;IVANEO HILLESHEIM JP C;PALHOCA            ;SC;03/05/24  ;663X2;01/01;
00000900028218015770471007;CRISTIANI-CZ;041/101 ;RASADOR PR                                             ;78      ;5770471 ;5770471 ;332     ;900028 218       ;1       ;7       ;E       ;PORTA ESP 663X296X15 LOURO FREIJO            ;588X296 mm                                   ;IVANEO HILLESHEIM JP C;PALHOCA            ;SC;03/05/24  ;588X2;01/01;
00000900028218015770471008;CRISTIANI-CZ;042/101 ;RASADOR PR                                             ;78      ;5770471 ;5770471 ;332     ;900028 218       ;1       ;8       ;E       ;PORTA ESP 663X296X15 LOURO FREIJO            ;588X296 mm                                   ;IVANEO HILLESHEIM JP C;PALHOCA            ;SC;03/05/24  ;588X2;01/01;
00000900047218015762748009;JEF/COZ.LAVA;031/122 ;RODAG-LOGIST                                           ;78      ;5762748 ;5762748 ;323     ;900047 218       ;1       ;9       ;C       ;PORTA ESP 834X296X15 LOURO FREIJO            ;809X296 mm                                   ;DECORA INTERIORES LTDA;SAO PAULO          ;SP;03/05/24  ;809X2;01/01;
00000900047218015762748010;JEF/COZ.LAVA;032/122 ;RODAG-LOGIST                                           ;78      ;5762748 ;5762748 ;323     ;900047 218       ;1       ;10      ;C       ;PORTA ESP 834X296X15 LOURO FREIJO            ;809X296 mm                                   ;DECORA INTERIORES LTDA;SAO PAULO          ;SP;03/05/24  ;809X2;01/01;
00000900047218015772098011;Jose Ricardo;011/015 ;PAESE LOGIST                                           ;78      ;5772098 ;5772098 ;327     ;900047 218       ;1       ;11      ;M       ;PORTA ESP 834X296X15 LOURO FREIJO            ;710X296 mm                                   ;EM CASA DESIGN MOVEIS ;SAO PAULO          ;SP;03/05/24  ;710X2;01/01;
00000900760218015772098012;Jose Ricardo;005/015 ;PAESE LOGIST                                           ;78      ;5772098 ;5772098 ;327     ;900760 218       ;1       ;12      ;M       ;PORTA DESP ESP 2338X296X15 LOURO FREIJO      ;2125X196 mm                                  ;EM CASA DESIGN MOVEIS ;SAO PAULO          ;SP;03/05/24  ;2125X;01/01;
00000900030218015762304013;KAIQUEBANHMA;007/017 ;RODAG-LOGIST                                           ;78      ;5762304 ;5762304 ;323     ;900030 218       ;1       ;13      ;C       ;PORTA ESP 663X346X15 LOURO FREIJO            ;663X326 mm                                   ;ZACARIAS GARCIA DOS SA;SAO PAULO          ;SP;03/05/24  ;663X3;01/01;
