cod-barra;nr-pedrep;nr-vol-ped;nome-transp;nr-linha;nr-pedido;nr-pedcli;nr-carga;it-codigo;nr-volume;nr-sequencia;cod-box;desc-item-1;desc-item-2;nome-emit;cidade;estado;dt-embarque;medida;volume;
00098165940003015762378001;cozinha     ;035/143 ;TRANSTUTTI                                             ;47      ;5762378 ;5762378 ;330     ;981659 40003     ;1       ;1       ;A       ;PAINEL ESP DUO 2C 1L X701-900X25MM SUNSET    ;890X845 mm                                   ;ESPACO ARTE PLANEJADOS;CACHOEIRINHA       ;RS;03/05/24  ;890X8;01/01;
00098165940003015762378002;cozinha     ;036/143 ;TRANSTUTTI                                             ;47      ;5762378 ;5762378 ;330     ;981659 40003     ;1       ;2       ;A       ;PAINEL ESP DUO 2C 1L X701-900X25MM SUNSET    ;890X845 mm                                   ;ESPACO ARTE PLANEJADOS;CACHOEIRINHA       ;RS;03/05/24  ;890X8;01/01;
00000981656218015619136003;Caf         ;038/077 ;TRANSTUTTI                                             ;47      ;5619136 ;5619136 ;330     ;981656 218       ;1       ;3       ;A       ;PAINEL ESP DUO 2C 1L X150-338X25MM LOURO FREI;296X296 mm                                   ;ARQDECOR ARQUITETURA E;CAXIAS DO SUL      ;RS;03/05/24  ;296X2;01/01;
00000981656218015619136004;Caf         ;039/077 ;TRANSTUTTI                                             ;47      ;5619136 ;5619136 ;330     ;981656 218       ;1       ;4       ;A       ;PAINEL ESP DUO 2C 1L X150-338X25MM LOURO FREI;296X296 mm                                   ;ARQDECOR ARQUITETURA E;CAXIAS DO SUL      ;RS;03/05/24  ;296X2;01/01;
00098165440003015762378005;cozinha     ;034/143 ;TRANSTUTTI                                             ;47      ;5762378 ;5762378 ;330     ;981654 40003     ;1       ;5       ;A       ;PAINEL ESP DUO 1C 2L X701-900X25MM SUNSET    ;2640X890 mm                                  ;ESPACO ARTE PLANEJADOS;CACHOEIRINHA       ;RS;03/05/24  ;2640X;01/01;
00000981640556015762530006;sh-coz      ;149/241 ;DUMAR                                                  ;47      ;5762530 ;5762530 ;321     ;981640 556       ;1       ;6       ;B       ;PAINEL ESP DUO 1L 1C CTO DIR X150-338X25MM CA;2200X338 mm                                  ;VITRINE MOVEIS PLANEJA;SAO JOSE DO RIO PRE;SP;03/05/24  ;2200X;01/01;
00098161940007015758783007;Home Living ;085/125 ;SULMOVEIS                                              ;47      ;5758783 ;5758783 ;335     ;981619 40007     ;1       ;7       ;R       ;PAINEL ESP DUO 1C X150-338X25MM DUST         ;2200X338 mm                                  ;ENGIPEC MOVEIS PLANEJA;PICOS              ;PI;03/05/24  ;2200X;01/01;
00098161940007015758783008;Home Living ;082/125 ;SULMOVEIS                                              ;47      ;5758783 ;5758783 ;335     ;981619 40007     ;1       ;8       ;R       ;PAINEL ESP DUO 1C X150-338X25MM DUST         ;2200X338 mm                                  ;ENGIPEC MOVEIS PLANEJA;PICOS              ;PI;03/05/24  ;2200X;01/01;
00098161940007015758783009;Home Living ;083/125 ;SULMOVEIS                                              ;47      ;5758783 ;5758783 ;335     ;981619 40007     ;1       ;9       ;R       ;PAINEL ESP DUO 1C X150-338X25MM DUST         ;2200X338 mm                                  ;ENGIPEC MOVEIS PLANEJA;PICOS              ;PI;03/05/24  ;2200X;01/01;
00098161940007015758783010;Home Living ;084/125 ;SULMOVEIS                                              ;47      ;5758783 ;5758783 ;335     ;981619 40007     ;1       ;10      ;R       ;PAINEL ESP DUO 1C X150-338X25MM DUST         ;2200X338 mm                                  ;ENGIPEC MOVEIS PLANEJA;PICOS              ;PI;03/05/24  ;2200X;01/01;
00098161940007015758783011;Home Living ;086/125 ;SULMOVEIS                                              ;47      ;5758783 ;5758783 ;335     ;981619 40007     ;1       ;11      ;R       ;PAINEL ESP DUO 1C X150-338X25MM DUST         ;2140X338 mm                                  ;ENGIPEC MOVEIS PLANEJA;PICOS              ;PI;03/05/24  ;2140X;01/01;
00098161940007015758783012;Home Living ;087/125 ;SULMOVEIS                                              ;47      ;5758783 ;5758783 ;335     ;981619 40007     ;1       ;12      ;R       ;PAINEL ESP DUO 1C X150-338X25MM DUST         ;2140X338 mm                                  ;ENGIPEC MOVEIS PLANEJA;PICOS              ;PI;03/05/24  ;2140X;01/01;
00098161940007015758783013;Home Living ;088/125 ;SULMOVEIS                                              ;47      ;5758783 ;5758783 ;335     ;981619 40007     ;1       ;13      ;R       ;PAINEL ESP DUO 1C X150-338X25MM DUST         ;2140X338 mm                                  ;ENGIPEC MOVEIS PLANEJA;PICOS              ;PI;03/05/24  ;2140X;01/01;
00098161940007015758783014;Home Living ;089/125 ;SULMOVEIS                                              ;47      ;5758783 ;5758783 ;335     ;981619 40007     ;1       ;14      ;R       ;PAINEL ESP DUO 1C X150-338X25MM DUST         ;2140X338 mm                                  ;ENGIPEC MOVEIS PLANEJA;PICOS              ;PI;03/05/24  ;2140X;01/01;
